
#,"<span data-id=""PlayerStatsDataGrid_139639049628304"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639049628304/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""fullname"">Jméno <input type=""text"" name=""gridFilter_fullname"" data-placement=""bottom"" class=""popup-on"" title=""Abc - jakýkoliv výskyt Abc
Abc* - začíná s Abc
*Abc - končí s Abc 
=Abc - přesný výskyt Abc"">","<span data-id=""PlayerStatsDataGrid_139639049628304"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639049628304/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""team_logo_with_link"">Družstvo","<span data-id=""PlayerStatsDataGrid_139639049628304"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639049628304/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""post"">Post","<span data-id=""PlayerStatsDataGrid_139639049628304"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639049628304/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""z"">Z","<span data-id=""PlayerStatsDataGrid_139639049628304"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639049628304/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""b"">B","<span data-id=""PlayerStatsDataGrid_139639049628304"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639049628304/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""bvp"">BVP","<span data-id=""PlayerStatsDataGrid_139639049628304"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639049628304/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""bvo"">BVO","<span data-id=""PlayerStatsDataGrid_139639049628304"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639049628304/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""a"">A","<span data-id=""PlayerStatsDataGrid_139639049628304"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639049628304/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""kb"">KB","<span data-id=""PlayerStatsDataGrid_139639049628304"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639049628304/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""tm"">TM","<span data-id=""PlayerStatsDataGrid_139639049628304"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639049628304/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""plus_points"">+","<span data-id=""PlayerStatsDataGrid_139639049628304"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639049628304/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""minus_points"">-","<span data-id=""PlayerStatsDataGrid_139639049628304"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639049628304/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""plus_minus_points"">+/-"
1.,Filip Forman,,,13,11,3,0,22,33,8,45,25,20
2.,Jan Malič,,,13,9,4,0,16,25,18,38,22,16
3.,Matěj Pěnička,,,13,14,5,0,8,22,4,30,19,11
4.,Matyáš Krebner,,U,13,7,3,0,13,20,4,31,30,1
5.,Jakub Šárka,,,12,12,7,0,3,15,2,18,12,6
6.,Jakub Buršík,,,13,10,0,1,4,14,4,23,19,4
7.,Michal Vojtíšek,,O,13,9,0,0,3,12,0,25,17,8
8.,Patrik Šebek,,U,12,5,0,0,5,10,2,27,18,9
9.,Mikuláš Forman,,O,11,6,0,0,3,9,2,12,9,3
10.,Ivan Tomčo,,,11,5,0,0,4,9,0,15,12,3
11.,Viktor Kopecký,,U,11,4,0,0,5,9,0,17,14,3
12.,Jan Dobisík,,U,13,3,0,0,1,4,0,18,8,10
13.,Pavel Čihák,,O,12,2,0,0,2,4,2,15,20,-5
14.,Vojtěch Zezulka,,O,13,2,1,0,2,4,0,16,15,1
15.,Kryštof Krbec,,O,13,1,0,1,2,3,0,26,23,3
16.,Martin Kisugite,,,2,1,0,0,1,2,0,6,3,3
17.,Marek Ďopan,,O,1,1,0,0,0,1,0,5,2,3
18.,Ondřej Kawulok,,,4,1,0,0,0,1,0,0,0,0
19.,Jiří Kratina,,,10,1,0,0,0,1,2,2,3,-1
20.,Daniel Cabejšek,,O,4,0,0,0,1,1,0,1,0,1
21.,Adam Růžek,,U,9,0,0,0,1,1,0,4,4,0
22.,Tomáš Otcovský,,,1,0,0,0,0,0,0,0,0,0
23.,Filip Folauf,,,1,0,0,0,0,0,0,0,0,0
24.,Lukáš Punčochář,,,2,0,0,0,0,0,0,0,0,0
25.,Lukáš Kuncman,,O,11,0,0,0,0,0,4,7,6,1
26.,Tomáš Hyršl,,,0,0,0,0,0,0,0,0,0,0
27.,Radovan Michajlovič,,G,0,0,0,0,0,0,0,0,0,0
