Filip Forman,U,12,14,24,22,1009100701
Jakub Buršík,,12,15,14,21,1009200081
Karel Petrák,U,12,19,7,16,0910160731
Jan Malič,,8,5,6,12,1005190131
Patrik Šebek,,12,5,5,20,1210051101
Matúš Gajdoš,,9,2,3,15,1905030131
Jiří Kratina,,11,1,2,10,0909111061
Daniel Cabejšek,O,7,2,0,9,0710050651
Dominik Šimáně,O,9,2,0,5,0807210071
Adam Růžek,U,12,2,0,25,0509091251
Jan Dobisík,U,9,0,2,6,0709141481
Sebastian Rod,U,11,0,2,15,1009221471
Lukáš Blaszczyk,,4,1,0,1,2001230421
Peter Steller,,9,1,0,6,2106290151
Pavel Čihák,O,12,1,0,12,0509091371
Vojtěch Bílek,,12,1,0,21,1608290121
Ondřej Valenta,,1,0,0,0,1012020011
Vojtěch Zezulka,O,1,0,0,0,0609080891
Lukáš Vašíček,,1,0,0,0,1209141801
Jakub Zavřel,G,0,0,0,0,1212310021
Peter Hrabčák,,2,0,0,3,1905030141
Drahoslav Pastor,O,9,0,0,2,0709102271
Radovan Michajlovič,G,0,0,0,0,0708090141
Šimon Batkovič,,10,0,0,6,2001030231
Lukáš Kuncman,O,10,0,0,14,0710160051
Marek Ďopan,O,11,0,0,18,0808140311
Tomáš Hyršl,G,0,0,0,0,0509190571
