Šimon Stránský,,11,12,10,18,111214004
Prokop Ferdan,U,10,8,11,12,060303037
Radek Valeš,U,11,10,8,18,030926117
Filip Smutný,U,10,11,6,15,141118043
Vojtěch Wiener,,11,7,5,15,101125197
Jakub Kopecký,,7,3,5,12,081029017
Jan Světlík,U,11,3,2,19,140624010
Jan Baudisch,U,10,2,1,15,060905064
Petr Kološ,O,8,0,3,12,060822004
Jan Šoltys,U,11,2,0,9,110924001
Jakub Mádlo,,3,1,1,0,151119007
Matěj Klucho,O,10,1,0,15,060925002
Tomáš Dlesk,U,11,1,0,19,090924134
Jakub Kárník,,7,0,1,12,080813054
Petr Chlad,G,0,0,1,0,170929099
Patrik Rozkovec,U,11,0,1,11,091005044
Vojtěch Janeček,O,11,0,1,14,101228004
Lukáš Macháč,,1,0,0,0,110918044
Michal Václavík,,2,0,0,2,110918043
Jan Král,G,0,0,0,0,090922049
Daniel Mück,,0,0,0,0,070822165
Jan Bitman,O,3,0,0,3,110112017
Jakub Levínský,G,0,0,0,0,071004040
Daniel Martínek,,7,0,0,1,130702002
Jakub Pařízek,,11,0,0,14,100916030
