František Vykopal,U,10,13,6,20,120905056
Ronald Gašparík,,11,8,11,19,150516022
Peter Nehila,,11,9,4,27,170809004
Lukáš Petřík,U,11,4,7,34,060920001
Tomáš Sovják,U,9,2,7,20,050406001
Jakub Grich,,6,5,2,10,190503012
Martin Ležatka,U,11,4,2,24,130917127
Filip Hrabal,U,10,2,4,26,050808019
David Ležatka,U,11,2,4,23,130917131
Pavel Jurčík,U,11,4,1,22,051008028
Vlastimil Červenka,U,11,2,2,29,150923005
Jiří Halama,,11,1,1,21,120905023
Lukáš Kvapil,O,11,1,1,17,061130077
Vít Máček,,11,1,0,11,081013093
David Medek,O,3,0,1,4,080919068
Kryštof Hájek,,1,0,0,0,151009098
Ondřej Malý,,5,0,0,0,101013093
Kevin Majrich,G,0,0,0,0,120919065
Dalimil Krčma,,7,0,0,1,150924076
Miroslav Steiger,,0,0,0,0,140811054
Samuel Kelemen,,7,0,0,13,170106022
Marek Maťcha,O,7,0,0,10,100201017
Josef Štourač,U,8,0,0,8,131003139
Adam Kohút,,0,0,0,0,160512002
