Viktor Kopecký,U,11,12,11,33,0611300601
Jan Fiala,O,12,6,9,29,0511250251
Vojtěch Klápa,,12,8,4,36,0912080101
Ivan Pergler,U,11,6,6,30,1011030331
Ondřej Stuchlík,O,11,3,5,19,0609220311
Zbyněk Stuchlík,,9,3,3,18,0609220321
Jan Procházka,U,12,5,0,23,1010070141
Petr Hartman,U,9,1,3,19,0808040071
Vojtěch Máca,U,9,1,2,14,1411270071
Štěpán Čuda,O,12,1,2,25,0911130381
Lukáš Lanc,,8,2,0,14,0708220521
Lukáš Gregor,U,7,1,1,2,0709251001
Štepán Švejda,U,10,1,0,13,0909210471
Jan Pinkas,,12,1,0,12,1210170571
David Ježek,O,12,1,0,25,0509092481
Daniel Cabejšek,O,3,0,1,8,0710050651
Richard Kellenberger,,3,0,1,4,1410031401
Pavel Hájek,,7,0,1,2,1504020131
Milan Bína,U,3,0,0,4,0510240411
Martin Šolaja,,4,0,0,2,1009202091
Matěj Horák,O,9,0,0,10,1009090161
Marek Paštika,O,10,0,0,3,1311290091
Oliver Gold,O,10,0,0,17,1312200021
Petr Musil,G,0,0,0,0,1212130161
Karel Šantora,G,0,0,0,0,0810130271
