Lukáš Ujhélyi,U,11,11,7,15,150901009
Josef Juha,,11,9,7,17,080307023
Mikuláš Krbec,,11,8,8,20,081003071
Marek Zouzal,U,11,6,9,16,070822176
Jakub Kolstrunk,,11,5,7,15,080311010
Matěj Čermák,,11,5,3,21,110929145
Dominik Bartoš,O,11,3,4,21,070807062
Matěj Pruner,U,11,4,2,24,070903052
Michal Zeman,O,11,2,4,14,060830025
Michal Kareš,U,11,4,1,5,110909085
Milan Garčar,O,11,3,2,23,050922003
Radim Křenek,O,11,2,3,16,060902068
Kristián Kozák,,10,1,1,10,150516012
Robert Košir,,11,1,0,13,151021023
Adam Kuchynka,O,5,0,1,4,110525002
Michal Pažák,U,10,0,1,9,180904007
Adam Šimek,,1,0,0,0,110918029
Roman Nový,G,0,0,0,0,101026063
Daniel Fišer,,5,0,0,0,101005026
Jan Marvánek,O,6,0,0,0,070822047
Ondřej Hurt,,9,0,0,6,090907086
Viktor Hejna,,1,0,0,0,110930093
Martin Beneš,G,0,0,0,0,060823025
